"(Background Information, Full Name)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)","(Background Information, League)"
Tammy Abraham,FW,Roma,1997.0,8.0,2.0,242.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.1,0.7,6.0,4.0,15.0,0.37,0.0,0.37,0.37,0.37,0.22,0.05,0.27,0.22,0.27,SerieA
Francesco Acerbi,DF,Inter,1988.0,29.0,26.0,2388.0,26.5,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.6,1.6,1.8,3.4,21.0,87.0,24.0,0.11,0.04,0.15,0.11,0.15,0.06,0.07,0.13,0.06,0.13,SerieA
Yacine Adli,MF,Milan,2000.0,24.0,17.0,1407.0,15.6,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,2.2,2.5,30.0,125.0,26.0,0.06,0.13,0.19,0.06,0.19,0.02,0.14,0.16,0.02,0.16,SerieA
Michel Aebischer,MF,Bologna,1997.0,36.0,26.0,2230.0,24.8,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,1.5,2.6,26.0,125.0,55.0,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.11,0.04,0.11,SerieA
Lucien Agoume,MF,Inter,2002.0,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SerieA
Marley Aké,FW,Udinese,2001.0,1.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SerieA
Ebenezer Akinsanmiro,MF,Inter,2004.0,1.0,0.0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,SerieA
Jean-Daniel Akpa-Akpro,MF,Monza,1992.0,19.0,8.0,705.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.1,0.6,11.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,SerieA
David Akpan Ankeye,FW,Genoa,2002.0,6.0,0.0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SerieA
Luis Alberto,MF,Lazio,1992.0,33.0,29.0,2311.0,25.7,5.0,7.0,12.0,5.0,0.0,0.0,7.0,0.0,4.7,4.7,4.7,9.4,83.0,212.0,124.0,0.19,0.27,0.47,0.19,0.47,0.18,0.18,0.37,0.18,0.37,SerieA
